investigation	investigation#	investigation+N+SG
bottom	bottom#	bottom+N+SG
homer	homer#	homer+N+SG
days	day^s#	day+N+PL
homer	homer#	homer+N+SG
campaign	campaign#	campaign+N+SG
score	score#	score+N+SG
league	league#	league+N+SG
home	home#	home+N+SG
run	run#	run+N+SG
front	front#	front+N+SG
double	double#	double+N+SG
infield	infield#	infield+N+SG
single	single#	single+N+SG
single	single#	single+N+SG
center	center#	center+N+SG
front	front#	front+N+SG
night	night#	night+N+SG
baseball	baseball#	baseball+N+SG
newsman	newsman#	newsman+N+SG
reflexes	reflex^s#	reflex+N+PL
man	man#	man+N+SG
ball	ball#	ball+N+SG
club	club#	club+N+SG
word	word#	word+N+SG
walkout	walkout#	walkout+N+SG
hits	hit^s#	hit+N+PL
average	average#	average+N+SG
games	game^s#	game+N+PL
midnight	midnight#	midnight+N+SG
train	train#	train+N+SG
word	word#	word+N+SG
newsmen	newsmen#	newsmen+N+SG
train	train#	train+N+SG
trip	trip#	trip+N+SG
nation	nation#	nation+N+SG
wife	wife#	wife+N+SG
chances	chance^s#	chance+N+PL
streamliner	streamliner#	streamliner+N+SG
minutes	minute^s#	minute+N+PL
compartment	compartment#	compartment+N+SG
conductor	conductor#	conductor+N+SG
ball	ball#	ball+N+SG
bat	bat#	bat+N+SG
head	head#	head+N+SG
world	world#	world+N+SG
station	station#	station+N+SG
magazine	magazine#	magazine+N+SG
stand	stand#	stand+N+SG
while	while#	while+N+SG
keyhole	keyhole#	keyhole+N+SG
baseball	baseball#	baseball+N+SG
writer	writer#	writer+N+SG
reflexes	reflex^s#	reflex+N+PL
baseball	baseball#	baseball+N+SG
grip	grip#	grip+N+SG
masses	mass^s#	mass+N+PL
heroics	heroic^s#	heroic+N+PL
millions	million^s#	million+N+PL
tongues	tongue^s#	tongue+N+PL
weekend	weekend#	weekend+N+SG
masterpiece	masterpiece#	masterpiece+N+SG
spree	spree#	spree+N+SG
course	course#	course+N+SG
feats	feat^s#	feat+N+PL
fact	fact#	fact+N+SG
baseball	baseball#	baseball+N+SG
pastime	pastime#	pastime+N+SG
achievements	achievement^s#	achievement+N+PL
pitching	pitching#	pitching+N+SG
hearts	heart^s#	heart+N+PL
stimulant	stimulant#	stimulant+N+SG
lot	lot#	lot+N+SG
guys	guy^s#	guy+N+PL
milestone	milestone#	milestone+N+SG
rookies	rooky^s#	rooky+N+PL
leaguer	leaguer#	leaguer+N+SG
laurels	laurel^s#	laurel+N+PL
days	day^s#	day+N+PL
doubt	doubt#	doubt+N+SG
southpaw	southpaw#	southpaw+N+SG
lefthanders	lefthander^s#	lefthander+N+PL
history	history#	history+N+SG
pitcher	pitcher#	pitcher+N+SG
fellow	fellow#	fellow+N+SG
ball	ball#	ball+N+SG
ball	ball#	ball+N+SG
player	player#	player+N+SG
trade	trade#	trade+N+SG
performance	performance#	performance+N+SG
exhibition	exhibition#	exhibition+N+SG
game	game#	game+N+SG
record	record#	record+N+SG
crowd	crowd#	crowd+N+SG
period	period#	period+N+SG
motions	motion^s#	motion+N+PL
guy	guy#	guy+N+SG
rightfield	rightfield#	rightfield+N+SG
day	day#	day+N+SG
clubhouse	clubhouse#	clubhouse+N+SG
decade	decade#	decade+N+SG
leagues	league^s#	league+N+PL
sluggers	slugger^s#	slugger+N+PL
home	home#	home+N+SG
runs	run^s#	run+N+PL
span	span#	span+N+SG
innings	inning^s#	inning+N+PL
audience	audience#	audience+N+SG
trick	trick#	trick+N+SG
history	history#	history+N+SG
road	road#	road+N+SG
day	day#	day+N+SG
argument	argument#	argument+N+SG
merits	merit^s#	merit+N+PL
issue	issue#	issue+N+SG
matter	matter#	matter+N+SG
opinion	opinion#	opinion+N+SG
fan	fan#	fan+N+SG
record	record#	record+N+SG
books	book^s#	book+N+PL
ace	ace#	ace+N+SG
seasons	season^s#	season+N+PL
home	home#	home+N+SG
runs	run^s#	run+N+PL
bases	bas^s#	bas+N+PL
figure	figure#	figure+N+SG
lifetime	lifetime#	lifetime+N+SG
average	average#	average+N+SG
points	point^s#	point+N+PL
bat	bat#	bat+N+SG
formula	formula#	formula+N+SG
park	park#	park+N+SG
baseball	baseball#	baseball+N+SG
mystery	mystery#	mystery+N+SG
team	team#	team+N+SG
slump	slump#	slump+N+SG
audience	audience#	audience+N+SG
home	home#	home+N+SG
runs	run^s#	run+N+PL
thanks	thank^s#	thank+N+PL
arrangement	arrangement#	arrangement+N+SG
games	game^s#	game+N+PL
rule	rule#	rule+N+SG
blackout	blackout#	blackout+N+SG
baseball	baseball#	baseball+N+SG
minutes	minute^s#	minute+N+PL
start	start#	start+N+SG
league	league#	league+N+SG
game	game#	game+N+SG
area	area#	area+N+SG
rulers	ruler^s#	ruler+N+PL
couple	couple#	couple+N+SG
years	year^s#	year+N+PL
management	management#	management+N+SG
business	busines^s#	busines+N+PL
games	game^s#	game+N+PL
policy	policy#	policy+N+SG
year	year#	year+N+SG
CBS	cb^s#	cb+N+PL
network	network#	network+N+SG
rule	rule#	rule+N+SG
NBC	nbc#	nbc+N+SG
conclusion	conclusion#	conclusion+N+SG
afternoons	afternoon^s#	afternoon+N+PL
situation	situation#	situation+N+SG
rule	rule#	rule+N+SG
baseball	baseball#	baseball+N+SG
harm	harm#	harm+N+SG
league	league#	league+N+SG
level	level#	level+N+SG
fans	fan^s#	fan+N+PL
year	year#	year+N+SG
television	television#	television+N+SG
policy	policy#	policy+N+SG
dissatisfaction	dissatisfaction#	dissatisfaction+N+SG
request	request#	request+N+SG
video	video#	video+N+SG
end	end#	end+N+SG
game	game#	game+N+SG
world	world#	world+N+SG
series	sery^s#	sery+N+PL
romp	romp#	romp+N+SG
barrage	barrage#	barrage+N+SG
finale	finale#	finale+N+SG
action	action#	action+N+SG
injuries	injury^s#	injury+N+PL
champs	champ^s#	champ+N+PL
attack	attack#	attack+N+SG
parade	parade#	parade+N+SG
pitchers	pitcher^s#	pitcher+N+PL
team	team#	team+N+SG
series	sery^s#	sery+N+PL
game	game#	game+N+SG
replacement	replacement#	replacement+N+SG
homer	homer#	homer+N+SG
loser	loser#	loser+N+SG
inning	inning#	inning+N+SG
homer	homer#	homer+N+SG
explosion	explosion#	explosion+N+SG
advantage	advantage#	advantage+N+SG
errors	error^s#	error+N+PL
crowd	crowd#	crowd+N+SG
chances	chance^s#	chance+N+PL
home	home#	home+N+SG
run	run#	run+N+SG
corner	corner#	corner+N+SG
bleachers	bleacher^s#	bleacher+N+PL
center	center#	center+N+SG
feet	feet#	feet+N+SG
men	men#	men+N+SG
ball	ball#	ball+N+SG
game	game#	game+N+SG
drive	drive#	drive+N+SG
men	men#	men+N+SG
homer	homer#	homer+N+SG
time	time#	time+N+SG
score	score#	score+N+SG
triumph	triumph#	triumph+N+SG
man	man#	man+N+SG
team	team#	team+N+SG
pennant	pennant#	pennant+N+SG
victory	victory#	victory+N+SG
year	year#	year+N+SG
manager	manager#	manager+N+SG
feat	feat#	feat+N+SG
line	line#	line+N+SG
coach	coach#	coach+N+SG
football	football#	football+N+SG
champion	champion#	champion+N+SG
coach	coach#	coach+N+SG
contract	contract#	contract+N+SG
salary	salary#	salary+N+SG
year	year#	year+N+SG
end	end#	end+N+SG
season	season#	season+N+SG
appointment	appointment#	appointment+N+SG
news	new^s#	new+N+PL
conference	conference#	conference+N+SG
members	member^s#	member+N+PL
staff	staff#	staff+N+SG
coach	coach#	coach+N+SG
ends	end^s#	end+N+PL
selection	selection#	selection+N+SG
choice	choice#	choice+N+SG
club	club#	club+N+SG
permission	permission#	permission+N+SG
job	job#	job+N+SG
entry	entry#	entry+N+SG
quarterback	quarterback#	quarterback+N+SG
title	title#	title+N+SG
connection	connection#	connection+N+SG
decision	decision#	decision+N+SG
career	career#	career+N+SG
player	player#	player+N+SG
helm	helm#	helm+N+SG
emphasis	emphasi^s#	emphasi+N+PL
past	past#	past+N+SG
club	club#	club+N+SG
aerials	aerial^s#	aerial+N+PL
advocate	advocate#	advocate+N+SG
attack	attack#	attack+N+SG
years	year^s#	year+N+PL
football	football#	football+N+SG
career	career#	career+N+SG
lineman	lineman#	lineman+N+SG
injury	injury#	injury+N+SG
season	season#	season+N+SG
career	career#	career+N+SG
years	year^s#	year+N+PL
season	season#	season+N+SG
assistant	assistant#	assistant+N+SG
coach	coach#	coach+N+SG
years	year^s#	year+N+PL
job	job#	job+N+SG
staff	staff#	staff+N+SG
job	job#	job+N+SG
ceremony	ceremony#	ceremony+N+SG
reception	reception#	reception+N+SG
room	room#	room+N+SG
championship	championship#	championship+N+SG
group	group#	group+N+SG
players	player^s#	player+N+PL
coaches	coach^s#	coach+N+PL
team	team#	team+N+SG
officials	official^s#	official+N+PL
copy	copy#	copy+N+SG
city	city#	city+N+SG
citation	citation#	citation+N+SG
pair	pair#	pair+N+SG
silver	silver#	silver+N+SG
cufflinks	cufflink^s#	cufflink+N+PL
football	football#	football+N+SG
announcement	announcement#	announcement+N+SG
achievement	achievement#	achievement+N+SG
award	award#	award+N+SG
awards	award^s#	award+N+PL
list	list#	list+N+SG
dinner	dinner#	dinner+N+SG
show	show#	show+N+SG
chairman	chairman#	chairman+N+SG
dais	dai^s#	dai+N+PL
southpaw	southpaw#	southpaw+N+SG
ace	ace#	ace+N+SG
sports	sport^s#	sport+N+PL
columnist	columnist#	columnist+N+SG
hero	hero#	hero+N+SG
manager	manager#	manager+N+SG
homer	homer#	homer+N+SG
series	sery^s#	sery+N+PL
game	game#	game+N+SG
player	player#	player+N+SG
world	world#	world+N+SG
series	sery^s#	sery+N+PL
service	service#	service+N+SG
baseball	baseball#	baseball+N+SG
player	player#	player+N+SG
year	year#	year+N+SG
crowd	crowd#	crowd+N+SG
ceremonies	ceremony^s#	ceremony+N+PL
show	show#	show+N+SG
writers	writer^s#	writer+N+PL
baseball	baseball#	baseball+N+SG
personalities	personality^s#	personality+N+PL
skit	skit#	skit+N+SG
dance	dance#	dance+N+SG
song	song#	song+N+SG
corporation	corporation#	corporation+N+SG
lawyer	lawyer#	lawyer+N+SG
sports	sport^s#	sport+N+PL
background	background#	background+N+SG
man	man#	man+N+SG
return	return#	return+N+SG
club	club#	club+N+SG
years	year^s#	year+N+PL
committee	committee#	committee+N+SG
goal	goal#	goal+N+SG
team	team#	team+N+SG
city	city#	city+N+SG
departure	departure#	departure+N+SG
barriers	barrier^s#	barrier+N+PL
disappointments	disappointment^s#	disappointment+N+PL
expansion	expansion#	expansion+N+SG
club	club#	club+N+SG
aid	aid#	aid+N+SG
formation	formation#	formation+N+SG
league	league#	league+N+SG
franchise	franchise#	franchise+N+SG
ground	ground#	ground+N+SG
years	year^s#	year+N+PL
majors	major^s#	major+N+PL
franchise	franchise#	franchise+N+SG
stadium	stadium#	stadium+N+SG
works	work^s#	work+N+PL
lease	lease#	lease+N+SG
club	club#	club+N+SG
efforts	effort^s#	effort+N+PL
stadium	stadium#	stadium+N+SG
wife	wife#	wife+N+SG
family	family#	family+N+SG
basketball	basketball#	basketball+N+SG
law	law#	law+N+SG
degree	degree#	degree+N+SG
league	league#	league+N+SG
football	football#	football+N+SG
team	team#	team+N+SG
lawyer	lawyer#	lawyer+N+SG
office	office#	office+N+SG
outfielder	outfielder#	outfielder+N+SG
winner	winner#	winner+N+SG
award	award#	award+N+SG
manager	manager#	manager+N+SG
line	line#	line+N+SG
raise	raise#	raise+N+SG
awards	award^s#	award+N+PL
dinner	dinner#	dinner+N+SG
dinner	dinner#	dinner+N+SG
team	team#	team+N+SG
matches	match^s#	match+N+PL
champion	champion#	champion+N+SG
district	district#	district+N+SG
champions	champion^s#	champion+N+PL
amateur	amateur#	amateur+N+SG
awards	award^s#	award+N+PL
sponsorship	sponsorship#	sponsorship+N+SG
charity	charity#	charity+N+SG
tournaments	tournament^s#	tournament+N+PL
president	president#	president+N+SG
comeback	comeback#	comeback+N+SG
illness	illnes^s#	illnes+N+PL
speaker	speaker#	speaker+N+SG
figure	figure#	figure+N+SG
golf	golf#	golf+N+SG
months	month^s#	month+N+PL
record	record#	record+N+SG
prize	prize#	prize+N+SG
money	money#	money+N+SG
night	night#	night+N+SG
distinction	distinction#	distinction+N+SG
duffer	duffer#	duffer+N+SG
shot	shot#	shot+N+SG
couple	couple#	couple+N+SG
weeks	week^s#	week+N+PL
hole	hole#	hole+N+SG
human	human#	human+N+SG
hands	hand^s#	hand+N+PL
thousands	thousand^s#	thousand+N+PL
incompetents	incompetent^s#	incompetent+N+PL
abandonment	abandonment#	abandonment+N+SG
sport	sport#	sport+N+SG
frustrations	frustration^s#	frustration+N+PL
despair	despair#	despair+N+SG
paragon	paragon#	paragon+N+SG
perfection	perfection#	perfection+N+SG
sacrilege	sacrilege#	sacrilege+N+SG
hope	hope#	hope+N+SG
spirit	spirit#	spirit+N+SG
yen	yen#	yen+N+SG
form	form#	form+N+SG
athletics	athletic^s#	athletic+N+PL
golfer	golfer#	golfer+N+SG
par	par#	par+N+SG
hole	hole#	hole+N+SG
round	round#	round+N+SG
open	open#	open+N+SG
intention	intention#	intention+N+SG
crusher	crusher#	crusher+N+SG
drive	drive#	drive+N+SG
pixies	pixy^s#	pixy+N+PL
zombies	zomby^s#	zomby+N+PL
banshees	banshee^s#	banshee+N+PL
distance	distance#	distance+N+SG
fairway	fairway#	fairway+N+SG
hole	hole#	hole+N+SG
shot	shot#	shot+N+SG
ball	ball#	ball+N+SG
arc	arc#	arc+N+SG
slice	slice#	slice+N+SG
bounds	bound^s#	bound+N+PL
bounds	bound^s#	bound+N+PL
side	side#	side+N+SG
shots	shot^s#	shot+N+PL
strokes	stroke^s#	stroke+N+PL
dozen	dozen#	dozen+N+SG
figure	figure#	figure+N+SG
clubhouse	clubhouse#	clubhouse+N+SG
standpoint	standpoint#	standpoint+N+SG
army	army#	army+N+SG
duffers	duffer^s#	duffer+N+PL
exhibition	exhibition#	exhibition+N+SG
ways	way^s#	way+N+PL
heyday	heyday#	heyday+N+SG
open	open#	open+N+SG
idol	idol#	idol+N+SG
hackers	hacker^s#	hacker+N+PL
course	course#	course+N+SG
hero	hero#	hero+N+SG
pro	pro#	pro+N+SG
lunch	lunch#	lunch+N+SG
way	way#	way+N+SG
gully	gully#	gully+N+SG
partner	partner#	partner+N+SG
count	count#	count+N+SG
stage	stage#	stage+N+SG
excavation	excavation#	excavation+N+SG
project	project#	project+N+SG
man	man#	man+N+SG
echoes	echoe^s#	echoe+N+PL
dozen	dozen#	dozen+N+SG
rules	rule^s#	rule+N+PL
loophole	loophole#	loophole+N+SG
golfer	golfer#	golfer+N+SG
code	code#	code+N+SG
man	man#	man+N+SG
book	book#	book+N+SG
knowledge	knowledge#	knowledge+N+SG
shot	shot#	shot+N+SG
year	year#	year+N+SG
brook	brook#	brook+N+SG
side	side#	side+N+SG
fairway	fairway#	fairway+N+SG
ball	ball#	ball+N+SG
spectator	spectator#	spectator+N+SG
ball	ball#	ball+N+SG
boy	boy#	boy+N+SG
potato	potato#	potato+N+SG
lie	lie#	lie+N+SG
executive	executive#	executive+N+SG
secretary	secretary#	secretary+N+SG
golf	golf#	golf+N+SG
association	association#	association+N+SG
ball	ball#	ball+N+SG
spot	spot#	spot+N+SG
stream	stream#	stream+N+SG
grin	grin#	grin+N+SG
man	man#	man+N+SG
golf	golf#	golf+N+SG
intensity	intensity#	intensity+N+SG
sense	sense#	sense+N+SG
humor	humor#	humor+N+SG
strain	strain#	strain+N+SG
nerves	nerve^s#	nerve+N+PL
banjo	banjo#	banjo+N+SG
strings	string^s#	string+N+PL
competitors	competitor^s#	competitor+N+PL
bull	bull#	bull+N+SG
rules	rule^s#	rule+N+PL
hole	hole#	hole+N+SG
iron	iron#	iron+N+SG
shot	shot#	shot+N+SG
tee	tee#	tee+N+SG
bunker	bunker#	bunker+N+SG
green	green#	green+N+SG
embankment	embankment#	embankment+N+SG
rains	rain^s#	rain+N+PL
rules	rule^s#	rule+N+PL
force	force#	force+N+SG
ball	ball#	ball+N+SG
official	official#	official+N+SG
official	official#	official+N+SG
man	man#	man+N+SG
rules	rule^s#	rule+N+PL
ball	ball#	ball+N+SG
ruling	ruling#	ruling+N+SG
ball	ball#	ball+N+SG
fathers	father^s#	father+N+PL
favor	favor#	favor+N+SG
stroke	stroke#	stroke+N+SG
ball	ball#	ball+N+SG
tournament	tournament#	tournament+N+SG
margin	margin#	margin+N+SG
stroke	stroke#	stroke+N+SG
weeks	week^s#	week+N+PL
creature	creature#	creature+N+SG
common	common#	common+N+SG
duffers	duffer^s#	duffer+N+PL
boys	boy^s#	boy+N+PL
hero	hero#	hero+N+SG
formula	formula#	formula+N+SG
players	player^s#	player+N+PL
problem	problem#	problem+N+SG
schedule	schedule#	schedule+N+SG
games	game^s#	game+N+PL
owners	owner^s#	owner+N+PL
meeting	meeting#	meeting+N+SG
items	item^s#	item+N+PL
agenda	agenda#	agenda+N+SG
meetings	meeting^s#	meeting+N+PL
television	television#	television+N+SG
rules	rule^s#	rule+N+PL
changes	change^s#	change+N+PL
hall	hall#	hall+N+SG
fame	fame#	fame+N+SG
benefits	benefit^s#	benefit+N+PL
amendments	amendment^s#	amendment+N+PL
owners	owner^s#	owner+N+PL
club	club#	club+N+SG
league	league#	league+N+SG
series	sery^s#	sery+N+PL
teams	team^s#	team+N+PL
division	division#	division+N+SG
games	game^s#	game+N+PL
teams	team^s#	team+N+PL
division	division#	division+N+SG
season	season#	season+N+SG
weeks	week^s#	week+N+PL
league	league#	league+N+SG
commissioner	commissioner#	commissioner+N+SG
problem	problem#	problem+N+SG
baseball	baseball#	baseball+N+SG
end	end#	end+N+SG
weather	weather#	weather+N+SG
teams	team^s#	team+N+PL
baseball	baseball#	baseball+N+SG
parks	park^s#	park+N+PL
conflict	conflict#	conflict+N+SG
dates	date^s#	date+N+PL
start	start#	start+N+SG
season	season#	season+N+SG
team	team#	team+N+SG
day	day#	day+N+SG
field	field#	field+N+SG
year	year#	year+N+SG
men	men#	men+N+SG
age	age#	age+N+SG
problem	problem#	problem+N+SG
injuries	injury^s#	injury+N+PL
season	season#	season+N+SG
trouble	trouble#	trouble+N+SG
shot	shot#	shot+N+SG
world	world#	world+N+SG
champions	champion^s#	champion+N+PL
record	record#	record+N+SG
year	year#	year+N+SG
switch	switch#	switch+N+SG
pitcher	pitcher#	pitcher+N+SG
reasons	reason^s#	reason+N+PL
record	record#	record+N+SG
mark	mark#	mark+N+SG
year	year#	year+N+SG
desire	desire#	desire+N+SG
starts	start^s#	start+N+PL
collapse	collapse#	collapse+N+SG
slump	slump#	slump+N+SG
losses	loss^s#	loss+N+PL
games	game^s#	game+N+PL
stand	stand#	stand+N+SG
night	night#	night+N+SG
assignment	assignment#	assignment+N+SG
date	date#	date+N+SG
night	night#	night+N+SG
flu	flu#	flu+N+SG
season	season#	season+N+SG
mates	mate^s#	mate+N+PL
captain	captain#	captain+N+SG
game	game#	game+N+SG
neck	neck#	neck+N+SG
record	record#	record+N+SG
mark	mark#	mark+N+SG
game	game#	game+N+SG
starts	start^s#	start+N+PL
workout	workout#	workout+N+SG
date	date#	date+N+SG
lineup	lineup#	lineup+N+SG
bench	bench#	bench+N+SG
anniversary	anniversary#	anniversary+N+SG
record	record#	record+N+SG
run	run#	run+N+SG
day	day#	day+N+SG
while	while#	while+N+SG
ankles	ankle^s#	ankle+N+PL
lefthander	lefthander#	lefthander+N+SG
center	center#	center+N+SG
practice	practice#	practice+N+SG
minutes	minute^s#	minute+N+PL
groove	groove#	groove+N+SG
pitching	pitching#	pitching+N+SG
statistics	statistic^s#	statistic+N+PL
practice	practice#	practice+N+SG
men	men#	men+N+SG
bats	bat^s#	bat+N+PL
bit	bit#	bit+N+SG
weekend	weekend#	weekend+N+SG
champions	champion^s#	champion+N+PL
men	men#	men+N+SG
recession	recession#	recession+N+SG
town	town#	town+N+SG
list	list#	list+N+SG
averages	average^s#	average+N+PL
feet	feet#	feet+N+SG
news	new^s#	new+N+PL
series	sery^s#	sery+N+PL
season	season#	season+N+SG
home	home#	home+N+SG
runs	run^s#	run+N+PL
start	start#	start+N+SG
record	record#	record+N+SG
action	action#	action+N+SG
week	week#	week+N+SG
runs	run^s#	run+N+PL
change	change#	change+N+SG
ball	ball#	ball+N+SG
plunkers	plunker^s#	plunker+N+PL
start	start#	start+N+SG
year	year#	year+N+SG
season	season#	season+N+SG
milestone	milestone#	milestone+N+SG
year	year#	year+N+SG
club	club#	club+N+SG
times	time^s#	time+N+PL
team	team#	team+N+SG
beginning	beginning#	beginning+N+SG
victories	victory^s#	victory+N+PL
triumphs	triumph^s#	triumph+N+PL
top	top#	top+N+SG
season	season#	season+N+SG
race	race#	race+N+SG
victories	victory^s#	victory+N+PL
club	club#	club+N+SG
start	start#	start+N+SG
runaway	runaway#	runaway+N+SG
race	race#	race+N+SG
team	team#	team+N+SG
games	game^s#	game+N+PL
mark	mark#	mark+N+SG
lead	lead#	lead+N+SG
club	club#	club+N+SG
start	start#	start+N+SG
period	period#	period+N+SG
pennant	pennant#	pennant+N+SG
night	night#	night+N+SG
Speakers	speaker^s#	speaker+N+PL
dinner	dinner#	dinner+N+SG
praise	praise#	praise+N+SG
group	group#	group+N+SG
players	player^s#	player+N+PL
words	word^s#	word+N+PL
confidence	confidence#	confidence+N+SG
player	player#	player+N+SG
award	award#	award+N+SG
ways	way^s#	way+N+PL
addition	addition#	addition+N+SG
award	award#	award+N+SG
center	center#	center+N+SG
season	season#	season+N+SG
knee	knee#	knee+N+SG
injury	injury#	injury+N+SG
people	people#	people+N+SG
team	team#	team+N+SG
spirit	spirit#	spirit+N+SG
sort	sort#	sort+N+SG
thing	thing#	thing+N+SG
conversation	conversation#	conversation+N+SG
ceremonies	ceremony^s#	ceremony+N+PL
team	team#	team+N+SG
boys	boy^s#	boy+N+PL
respect	respect#	respect+N+SG
ability	ability#	ability+N+SG
times	time^s#	time+N+PL
players	player^s#	player+N+PL
coach	coach#	coach+N+SG
fight	fight#	fight+N+SG
talk	talk#	talk+N+SG
halftime	halftime#	halftime+N+SG
team	team#	team+N+SG
trio	trio#	trio+N+SG
honors	honor^s#	honor+N+PL
sports	sport^s#	sport+N+PL
editor	editor#	editor+N+SG
junior	junior#	junior+N+SG
group	group#	group+N+SG
ability	ability#	ability+N+SG
clutch	clutch#	clutch+N+SG
play	play#	play+N+SG
expert	expert#	expert+N+SG
performance	performance#	performance+N+SG
victory	victory#	victory+N+SG
player	player#	player+N+SG
game	game#	game+N+SG
day	day#	day+N+SG
basketball	basketball#	basketball+N+SG
skills	skill^s#	skill+N+PL
coach	coach#	coach+N+SG
faults	fault^s#	fault+N+PL
spirit	spirit#	spirit+N+SG
husband	husband#	husband+N+SG
boy	boy#	boy+N+SG
team	team#	team+N+SG
silver	silver#	silver+N+SG
bowl	bowl#	bowl+N+SG
wife	wife#	wife+N+SG
sports	sport^s#	sport+N+PL
editor	editor#	editor+N+SG
award	award#	award+N+SG
efforts	effort^s#	effort+N+PL
shape	shape#	shape+N+SG
team	team#	team+N+SG
knee	knee#	knee+N+SG
time	time#	time+N+SG
week	week#	week+N+SG
injury	injury#	injury+N+SG
victory	victory#	victory+N+SG
game	game#	game+N+SG
tournament	tournament#	tournament+N+SG
bench	bench#	bench+N+SG
clock	clock#	clock+N+SG
inscription	inscription#	inscription+N+SG
lettermen	lettermen#	lettermen+N+SG
team	team#	team+N+SG
record	record#	record+N+SG
team	team#	team+N+SG
precedent	precedent#	precedent+N+SG
future	future#	future+N+SG
courts	court^s#	court+N+PL
court	court#	court+N+SG
advantage	advantage#	advantage+N+SG
team	team#	team+N+SG
way	way#	way+N+SG
baseball	baseball#	baseball+N+SG
game	game#	game+N+SG
